dset,m_arch,m_pretrain,m_finetune,loss,acc
dnc-comparatives,bert,mlm,mnli,0.008976987908395488,0.651685393258427
dnc-comparatives,distilbert,mlm,mnli,0.011880263853608892,0.5955056179775281
dnc-prepositions,bert,mlm,mnli,0.010085611703009579,0.5167597765363129
dnc-prepositions,distilbert,mlm,mnli,0.012339716184072654,0.4972067039106145
dnc-quantification,bert,mlm,mnli,0.004189691307374937,0.7770897832817337
dnc-quantification,distilbert,mlm,mnli,0.006483474383044169,0.7213622291021672
dnc-spatial,bert,mlm,mnli,0.004538179203203529,0.732484076433121
dnc-spatial,distilbert,mlm,mnli,0.005987272900380906,0.7197452229299363
jam,bert,mlm,mnli,0.0056521868705749516,0.536923076923077
jam,distilbert,mlm,mnli,0.007184330133291391,0.46923076923076923
snli,bert,mlm,mnli,0.002450506691779471,0.7797104913071825
snli,distilbert,mlm,mnli,0.0031496909808069935,0.7390537982858639
anli,bert,mlm,mnli,0.0037920755262202755,0.663444894100966
anli,distilbert,mlm,mnli,0.0046735544048080915,0.6236965704664283
hans,bert,mlm,mnli,0.007481347384443507,0.499
hans,distilbert,mlm,mnli,0.007642624899527679,0.48278333333333334
mnli_m,bert,mlm,mnli,0.0017322164072531314,0.8402445236882323
mnli_m,distilbert,mlm,mnli,0.002211422827313035,0.8117167600611309
mnli_mm,bert,mlm,mnli,0.0017394300207701809,0.8394019528071603
mnli_mm,distilbert,mlm,mnli,0.002142964778172475,0.8156021155410903
dnc-comparatives,distilbert,mlm,mixedmnli,0.012108484011017875,0.5955056179775281
dnc-prepositions,distilbert,mlm,mixedmnli,0.010903828303907171,0.5083798882681564
dnc-quantification,distilbert,mlm,mixedmnli,0.00532605016932768,0.7368421052631579
dnc-spatial,distilbert,mlm,mixedmnli,0.004710894861039083,0.7388535031847133
jam,distilbert,mlm,mixedmnli,0.006209000073946439,0.5061538461538462
snli,distilbert,mlm,mixedmnli,0.002829788730126371,0.7557118831421025
anli,distilbert,mlm,mixedmnli,0.004190152139638061,0.6477003515198062
hans,distilbert,mlm,mixedmnli,0.007965013713249936,0.49885
mnli_m,distilbert,mlm,mixedmnli,0.0019198648551867073,0.8327050433010698
mnli_mm,distilbert,mlm,mixedmnli,0.0019141572601092938,0.8300447518307568
