timestamp,m_arch,m_pretrain,m_finetune,p_type,p_task,layer0,layer1,layer4,layer5,layer6,layer10,layer11,layer12
2023_03_18-15_17,distilbert,mlm,mixedmnli,indiv,ner,0.9068502214788539,0.9384270406381532,0.9530575109820427,0.9489771536750786,0.9454298160163215,,,
2023_03_18-15_17,distilbert,mlm,mnli,indiv,ner,0.9064458617457313,0.9396217398496517,0.9523406914551437,0.9496020732626317,0.9456136158950135,,,
2023_03_18-15_19,distilbert,mlm,none,indiv,ner,0.9061701619276932,0.9404855992795045,0.9552631095263477,0.9516973918797214,0.9493079934567243,,,
2023_03_18-15_32,distilbert,mlm,mixedmnli,cond,ner,0.9071075413090227,0.9401179995221203,0.9546198099509254,0.9516973918797214,0.9495469332990241,,,
2023_03_18-15_32,distilbert,mlm,mnli,cond,ner,0.9062804418549084,0.9403017994008124,0.9542522101935412,0.951311412134468,0.9496388332383701,,,
2023_03_18-15_33,distilbert,mlm,none,cond,ner,0.906868601466723,0.9412759387578804,0.9559064091017699,0.9529104710790891,0.9526531512489201,,,
2023_03_18-15_52,bert,mlm,none,indiv,ner,0.9064458617457313,0.9348980829672653,,,0.954491150035841,0.9522671715036668,0.9504843126803536,0.9475067546455419
2023_03_18-15_53,bert,mlm,mnli,indiv,ner,0.9064642417336004,0.9327108644108295,,,0.9541235502784569,0.9542522101935412,0.9518995717462827,0.9490322936386862
2023_03_18-16_05,bert,mlm,none,cond,ner,0.906427481757862,0.9361663021302405,,,0.9553182494899554,0.954491150035841,0.9527634311761354,0.9508702924256069
2023_03_18-16_06,bert,mlm,mnli,cond,ner,0.905802562170309,0.9346223831492271,,,0.9559799290532468,0.9552079695627401,0.9540867903027184,0.9525061113459665
