timestamp,model_architecture,pretraining,finetuning,probe_type,base_layer,layer1,layer4,layer6,layer12
2023_03_14-02_22,bert,mlm,mnli,individual,0.8221480987324883,0.8953969312875251,0.9294529686457639,0.9366244162775184,0.8962641761174116
2023_03_14-02_27,bert,mlm,mnli,conditional,0.8220146764509673,0.9007004669779853,0.9344229486324216,0.9409606404269513,0.930920613742495
2023_03_14-02_34,bert,mlm,none,individual,0.8237491661107404,0.9030687124749833,0.937224816544363,0.9447631754503002,0.9223815877251501
2023_03_14-02_39,bert,mlm,none,conditional,0.8236490993995997,0.9078719146097398,0.9396264176117411,0.9487324883255503,0.9429286190793863
2023_03_14-02_44,distilbert,mlm,mnli,individual,0.823415610406938,0.9088392261507672,0.9254503002001334,0.8674116077384924,-1
2023_03_14-02_48,distilbert,mlm,mnli,conditional,0.8232154769846565,0.9097731821214142,0.9362908605737158,0.9162108072048032,-1
2023_03_14-02_52,distilbert,mlm,none,individual,0.8249166110740493,0.916177451634423,0.9465643762508339,0.9332555036691127,-1
2023_03_14-02_55,distilbert,mlm,none,conditional,0.8251834556370914,0.9194129419613075,0.9511007338225483,0.9448632421614409,-1
2023_03_14-23_57,distilbert,mlm,distmnli,individual,0.8239159439626418,0.9070713809206138,0.9203468979319547,0.8390260173448966,-1
2023_03_15-00_00,distilbert,mlm,distmnli,conditional,0.823282188125417,0.9104069379586391,0.9348899266177452,0.9103402268178786,-1
